LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1802,VIC241,Ballarat,Mount Pleasant,Grampians,BALLARAT,,VIC,3350
VIC1803,VIC94,Hepburn,Mount Prospect,Grampians,HEPBURN,,VIC,3364
VIC1804,VIC223,Glenelg,Mount Richmond,Barwon South West,GLENELG,,VIC,3305
VIC1805,VIC241,Ballarat,Mount Rowan,Grampians,BALLARAT,,VIC,3352
VIC1806,VIC224,Colac Otway,Mount Sabine,Barwon South West,COLAC OTWAY,,VIC,3236
VIC1807,VIC219,Latrobe,Mount Tassie,Gippsland,LATROBE,,VIC,3844
VIC1808,VIC243,East Gippsland,Mount Taylor,Gippsland,EAST GIPPSLAND,,VIC,3875
VIC1809,VIC206,Yarra Ranges,Mount Toolebewong,Greater Metropolitan Melbourne,YARRA RANGES,Outer Metropolitan,VIC,3777
VIC181,VIC181,Gabo Island,Gabo Island,Gippsland,GABO ISLAND,Unincorporated,VIC,3892
VIC181,VIC217,Pyrenees,Beaufort,Grampians,PYRENEES,,VIC,3373
VIC1810,VIC236,Moorabool,Mount Wallace,Grampians,MOORABOOL,,VIC,3342
VIC1811,VIC210,Monash,Mount Waverley,Greater Metropolitan Melbourne,MONASH,Metropolitan Melbourne,VIC,3149
VIC1812,VIC244,Mansfield,Mountain Bay,Hume,MANSFIELD,,VIC,3723
VIC1813,VIC178,South Gippsland,Mountain View,Gippsland,SOUTH GIPPSLAND,,VIC,3950
VIC1813,VIC194,Baw Baw,Mountain View,Gippsland,BAW BAW,,VIC,3988
VIC1814,VIC233,Southern Grampians,Moutajup,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3294
VIC1815,VIC178,South Gippsland,Moyarra,Gippsland,SOUTH GIPPSLAND,,VIC,3951
VIC1816,VIC186,Wangaratta,Moyhu,Hume,WANGARATTA,,VIC,3732
VIC1817,VIC166,Northern Grampians,Moyreisk,Grampians,NORTHERN GRAMPIANS,,VIC,3477
VIC1818,VIC220,Ararat,Moyston,Grampians,ARARAT,,VIC,3377
VIC1819,VIC190,Moira,Muckatah,Hume,MOIRA,,VIC,3644
VIC182,VIC182,Bayside,Beaumaris,Greater Metropolitan Melbourne,BAYSIDE,Metropolitan Melbourne,VIC,3193
VIC1820,VIC105,Mount Alexander,Muckleford,Loddon Mallee,MOUNT ALEXANDER,,VIC,3451
VIC1821,VIC105,Mount Alexander,Muckleford South,Loddon Mallee,MOUNT ALEXANDER,,VIC,3462
VIC1822,VIC191,Indigo,Mudgegonga,Hume,INDIGO,,VIC,3749
VIC1822,VIC242,Alpine,Mudgegonga,Hume,ALPINE,,VIC,3737
VIC1823,VIC210,Monash,Mulgrave,Greater Metropolitan Melbourne,MONASH,Metropolitan Melbourne,VIC,3170
VIC1824,VIC223,Glenelg,Mumbannar,Barwon South West,GLENELG,,VIC,3304
VIC1825,VIC190,Moira,Mundoona,Hume,MOIRA,,VIC,3635
VIC1826,VIC218,Wellington,Munro,Gippsland,WELLINGTON,,VIC,3862
VIC1827,VIC223,Glenelg,Muntham,Barwon South West,GLENELG,,VIC,3315
VIC1827,VIC233,Southern Grampians,Muntham,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3315
VIC1828,VIC110,Strathbogie,Murchison,Hume,STRATHBOGIE,,VIC,3612
VIC1828,VIC239,Campaspe,Murchison,Loddon Mallee,CAMPASPE,,VIC,3612
VIC1828,VIC93,Greater Shepparton,Murchison,Hume,GREATER SHEPPARTON,,VIC,3610
VIC1829,VIC93,Greater Shepparton,Murchison East,Hume,GREATER SHEPPARTON,,VIC,3610
VIC183,VIC166,Northern Grampians,Beazleys Bridge,Grampians,NORTHERN GRAMPIANS,,VIC,3477
VIC1830,VIC93,Greater Shepparton,Murchison North,Hume,GREATER SHEPPARTON,,VIC,3610
VIC1831,VIC230,Golden Plains,Murgheboluc,Grampians,GOLDEN PLAINS,,VIC,3218
VIC1832,VIC186,Wangaratta,Murmungee,Hume,WANGARATTA,,VIC,3747
VIC1833,VIC180,Swan Hill,Murnungin,Loddon Mallee,SWAN HILL,,VIC,3544
VIC1834,VIC185,Loddon,Murphys Creek,Loddon Mallee,LODDON,,VIC,3551
VIC1835,VIC153,Horsham,Murra Warra,Grampians,HORSHAM,,VIC,3401
VIC1835,VIC200,Yarriambiack,Murra Warra,Grampians,YARRIAMBIACK,,VIC,3401
VIC1836,VIC214,Gannawarra,Murrabit,Loddon Mallee,GANNAWARRA,,VIC,3579
VIC1837,VIC214,Gannawarra,Murrabit West,Loddon Mallee,GANNAWARRA,,VIC,3579
